id,title,orchestra,singer,style,year,decade,duration_seconds,file_path,tags,notes,bpm,key,energy,danceability,album,filename
7387d598-f856-5814-b79f-23533ebe615c,Ya Estamos Iguales,Juan D'Arienzo,Alberto Echagüe,tango,1945.0,1940s,162.53,data/raw/vol-37 la fiesta de buenos aires/13 ya estamos iguales.mp3,,,126.78462982177734,A,0.0074217496439814,1.0292905569076538,vol-37 la fiesta de buenos aires,13 ya estamos iguales.mp3
f6829e09-908d-5162-aa2c-580fe3981fff,Bien Pulenta,Juan D'Arienzo,Alberto Echagüe,tango,1950.0,1950s,168.27,data/raw/vol-06 la fiesta de buenos aires/02 bien pulenta.mp3,,,135.50466918945312,G,0.0086827399209141,1.0784622430801392,vol-06 la fiesta de buenos aires,02 bien pulenta.mp3
e6fedbbc-8276-50fe-8349-04a22df79626,Barajando,Juan D'Arienzo,Alberto Echagüe,tango,1929.0,1920s,175.1,data/raw/vol-06 la fiesta de buenos aires/04 barajando.mp3,,,128.24681091308594,E,0.0075021306984126,1.1465846300125122,vol-06 la fiesta de buenos aires,04 barajando.mp3
62f7fd15-9798-5807-845d-052039988f2c,Tierrita,Juan D'Arienzo,Héctor Mauré,tango,1963.0,1960s,186.67,data/raw/vol-30 la fiesta de buenos aires/02 tierrita.mp3,,,137.4112091064453,G,0.0095772836357355,1.0143790245056152,vol-30 la fiesta de buenos aires,02 tierrita.mp3
6b75058a-04db-5982-b7bb-4b11cab66625,Tango Brujo,Juan D'Arienzo,Héctor Mauré,tango,1977.0,1970s,168.63,data/raw/vol-10 la fiesta de buenos aires/11 tango brujo.mp3,,,129.07574462890625,D,0.0065470444969832,1.0770986080169678,vol-10 la fiesta de buenos aires,11 tango brujo.mp3
6b0dabb7-50c2-5568-a6b9-3ae5669cc339,Amarras,Juan D'Arienzo,Héctor Mauré,tango,1955.0,1950s,210.44,data/raw/vol-05 la fiesta de buenos aires/06 amarras.mp3,,,122.5762710571289,D,0.0085432780906558,0.9946931004524232,vol-05 la fiesta de buenos aires,06 amarras.mp3
4863e1d2-49ad-5113-b62e-441f7ae5d7f6,Sobre El Pucho,Juan D'Arienzo,Héctor Mauré,tango,1968.0,1960s,164.25,data/raw/vol-10 la fiesta de buenos aires/12 sobre el pucho.mp3,,,135.71414184570312,D,0.0094579495489597,1.076466679573059,vol-10 la fiesta de buenos aires,12 sobre el pucho.mp3
c6429fc7-ffbe-5d98-a099-bc825a48e60a,Infamia,Juan D'Arienzo,Héctor Mauré,tango,1953.0,1950s,184.61,data/raw/vol-10 la fiesta de buenos aires/13 infamia.mp3,,,135.1555633544922,A,0.0111016174778342,1.0523910522460938,vol-10 la fiesta de buenos aires,13 infamia.mp3
fca8dedc-f705-5451-907e-2b8250413ca1,Compadron,Juan D'Arienzo,Héctor Mauré,tango,1968.0,1960s,168.19,data/raw/vol-10 la fiesta de buenos aires/14 compadron.mp3,,,129.3197784423828,A,0.0070587205700576,0.9796119332313538,vol-10 la fiesta de buenos aires,14 compadron.mp3
d16e8d5f-6a05-5613-947d-313c2d132461,La Guitarrita,Juan D'Arienzo,Instrumental,tango,1928.0,1920s,148.43,data/raw/vol-33 la fiesta de buenos aires/17 la guitarrita.mp3,,,133.7372589111328,E,0.0055344910360872,1.0723133087158203,vol-33 la fiesta de buenos aires,17 la guitarrita.mp3
